date,municipality,nighborhood,zone,age,sex,schooling
2019-08-12,SOACHA,LA VEREDITA,URBANA,66.0,MASCULINO,PRIMARIA
2019-08-12,SOACHA,LOS ROBLES,URBANA,38.0,MASCULINO,PRIMARIA
2019-08-13,BOGOTÁ D.C.,SANTA FE E-14,URBANA,29.0,MASCULINO,PRIMARIA
2019-08-13,BOGOTÁ D.C.,SAN VICENTE E-4,URBANA,29.0,MASCULINO,SECUNDARIA
2019-08-13,BOGOTÁ D.C.,HIPOTECHO OCCIDENTAL E-8,URBANA,25.0,MASCULINO,SECUNDARIA
2019-08-13,SOACHA,BUENOS AIRES,URBANA,18.0,MASCULINO,PRIMARIA
2019-08-14,BOGOTÁ D.C.,LAS ACACIAS E-19,URBANA,32.0,MASCULINO,SECUNDARIA
2019-08-14,BOGOTÁ D.C.,SAN JOSE SPRING E-11,URBANA,50.0,FEMENINO,SECUNDARIA
2019-08-14,SOACHA,EL MIRADOR DE CORINTO,URBANA,18.0,MASCULINO,PRIMARIA
2019-08-14,SOACHA,EL MIRADOR DE CORINTO,URBANA,41.0,FEMENINO,PRIMARIA
2019-08-15,BOGOTÁ D.C.,CANDELARIA III-IV E-19,URBANA,58.0,FEMENINO,SECUNDARIA
2019-08-15,BOGOTÁ D.C.,CLASS E-8,URBANA,25.0,MASCULINO,SECUNDARIA
2019-08-16,BOGOTÁ D.C.,VOTO NACIONAL E-14,URBANA,38.0,FEMENINO,SECUNDARIA
2019-08-16,BOGOTÁ D.C.,LA GUACA E-16,URBANA,44.0,MASCULINO,SECUNDARIA
2019-08-16,BOGOTÁ D.C.,SANTA CATALINA E-8,URBANA,24.0,MASCULINO,SECUNDARIA
2019-08-16,BOGOTÁ D.C.,LOS PINOS E-4,URBANA,49.0,FEMENINO,SECUNDARIA
2019-08-16,BOGOTÁ D.C.,LOS ALPES E-19,URBANA,28.0,MASCULINO,SECUNDARIA
2019-08-16,TOCANCIPÁ,VER.VERGANZO,RURAL,3.0,FEMENINO,ANALFABETA
2019-08-17,BOGOTÁ D.C.,CAMELIA SUR E-16,URBANA,33.0,FEMENINO,SECUNDARIA
2019-08-17,BOGOTÁ D.C.,BOSQUE DE SAN CARLOS E-18,URBANA,17.0,MASCULINO,SECUNDARIA
2019-08-17,BOGOTÁ D.C.,VILLA DEL RIO E-7,URBANA,5.0,FEMENINO,PRIMARIA
2019-08-17,BOGOTÁ D.C.,VILLA DEL RIO E-7,URBANA,9.0,MASCULINO,SECUNDARIA
2019-08-18,BOGOTÁ D.C.,JUAN REY E-4,URBANA,27.0,MASCULINO,SECUNDARIA
2019-08-18,BOGOTÁ D.C.,ARRAYANES E-4,URBANA,25.0,FEMENINO,SECUNDARIA
2019-08-18,BOGOTÁ D.C.,ARRAYANES E-4,URBANA,52.0,FEMENINO,SECUNDARIA
2019-08-18,BOGOTÁ D.C.,LA ANDREA E-5,URBANA,35.0,MASCULINO,SECUNDARIA
2019-08-18,BOGOTÁ D.C.,VISION DE COLOMBIA I E-8,URBANA,29.0,MASCULINO,PRIMARIA
2019-08-18,MADRID,SOSIEGO,URBANA,25.0,MASCULINO,SECUNDARIA
2019-08-19,BOGOTÁ D.C.,URB. NUEVA ZELANDIA E-11,URBANA,27.0,MASCULINO,SECUNDARIA
2019-08-19,BOGOTÁ D.C.,DANUBIO AZUL E-5,URBANA,28.0,MASCULINO,SECUNDARIA
2019-08-19,BOGOTÁ D.C.,GARCES NAVAS E-10,URBANA,44.0,MASCULINO,SECUNDARIA
2019-08-19,BOGOTÁ D.C.,SAN BERNARDINO E-7,URBANA,29.0,MASCULINO,SECUNDARIA
2019-08-19,BOGOTÁ D.C.,BOCHICA E-16,URBANA,45.0,MASCULINO,SECUNDARIA
2019-08-20,BOGOTÁ D.C.,EL PARAISO E-19,URBANA,31.0,MASCULINO,SECUNDARIA
2019-08-20,BOGOTÁ D.C.,LA PERLA E-10,URBANA,29.0,MASCULINO,SECUNDARIA
2019-08-20,BOGOTÁ D.C.,EL MIRADOR E-19,URBANA,38.0,MASCULINO,SECUNDARIA
2019-08-20,BOGOTÁ D.C.,EL CORZO E-7,URBANA,21.0,MASCULINO,SECUNDARIA
2019-08-21,BOGOTÁ D.C.,CHAPINERO CENTRAL E-2,URBANA,30.0,MASCULINO,TECNICO
2019-08-21,BOGOTÁ D.C.,SAN VICTORINO E-14,URBANA,43.0,MASCULINO,SECUNDARIA
2019-08-21,GIRARDOT,BUENOS AIRES,URBANA,28.0,FEMENINO,PRIMARIA
2019-08-21,SILVANIA,MOLINO ROJO,URBANA,55.0,MASCULINO,PRIMARIA
2019-08-21,SOACHA,LEON XIII,URBANA,34.0,MASCULINO,SECUNDARIA
2019-08-22,BOGOTÁ D.C.,EL PALMAR E-10,URBANA,48.0,MASCULINO,SECUNDARIA
2019-08-22,BOGOTÁ D.C.,ARBORIZADORA ALTA E-19,URBANA,29.0,MASCULINO,SECUNDARIA
2019-08-22,BOGOTÁ D.C.,LILIANA E-5,URBANA,29.0,MASCULINO,SECUNDARIA
2019-08-22,BOGOTÁ D.C.,LA CAPUCHINA E-3,URBANA,61.0,MASCULINO,SECUNDARIA
2019-08-22,GIRARDOT,VER.BARZALOZA,URBANA,53.0,MASCULINO,PRIMARIA
2019-08-22,LA PALMA,VER. MINIPI DE QUIJANO,URBANA,45.0,MASCULINO,PRIMARIA
2019-08-23,BOGOTÁ D.C.,ALFONSO LOPEZ E-5,URBANA,43.0,MASCULINO,SECUNDARIA
2019-08-23,BOGOTÁ D.C.,VILLA SONIA E-7,URBANA,21.0,MASCULINO,SECUNDARIA
2019-08-23,BOGOTÁ D.C.,CALANDAIMA E-8,URBANA,39.0,MASCULINO,SECUNDARIA
2019-08-23,BOGOTÁ D.C.,LA PRADERA E-19,URBANA,38.0,MASCULINO,SECUNDARIA
2019-08-23,SOACHA,LOS DUCALES,URBANA,23.0,MASCULINO,SECUNDARIA
2019-08-24,BOGOTÁ D.C.,EL PORVENIR E-7,URBANA,50.0,MASCULINO,SECUNDARIA
2019-08-24,BOGOTÁ D.C.,JOSE ANTONIO GALAN E-7,URBANA,37.0,MASCULINO,SECUNDARIA
2019-08-24,BOGOTÁ D.C.,CIUDAD BERNA E-15,URBANA,48.0,FEMENINO,SECUNDARIA
2019-08-24,BOGOTÁ D.C.,EL REFUGIO E-9,URBANA,43.0,MASCULINO,SECUNDARIA
2019-08-24,SOACHA,CASA LOMA,URBANA,26.0,MASCULINO,SECUNDARIA
2019-08-25,BOGOTÁ D.C.,LA MARIA E-19,URBANA,18.0,MASCULINO,SECUNDARIA
2019-08-25,EL COLEGIO,LOS AMIGOS,URBANA,18.0,FEMENINO,SECUNDARIA
